V(Volt),WFR(mm/s),WS(mm/s),NPD(mm),H(mm),P(mm),W(mm)
41,17,6,30,2.419987385,5.03852765,13.5719337
30,17,6.5,21,2.398351972,3.670347837,12.7081688
36,27,5,27,2.949961036,3.646480832,16.21259812
30,25,7.5,22,2.866847728,3.798211815,12.76018925
36,25,7.5,30,2.342830968,4.800501864,13.34384231
34,30,9.5,22,3.0726875,4.583578591,12.14333116
30,17,11.5,30,1.213200924,3.693375983,9.378861449
39,24,5.5,28,2.457274444,4.270521848,15.76640673
35,24,10,25,2.04018261,4.497490005,11.28321816
34,16,11.5,21,1.755718875,3.664807316,9.402724312
40,16,10,30,1.989632315,4.577180699,10.12280741
36,30,8.5,21,3.116041073,4.565596321,13.72492075
39,18,5.5,30,2.360324077,4.986302417,14.01897404
37,28,5,25,3.05304004,3.3325571,16.91010125
30,24,8.5,28,2.354706207,4.40080376,11.61419026
38,18,9,22,2.145885121,4.456651406,11.74256443
34,19,5,28,2.41160089,4.518974822,14.12433723
36,29,11,27,2.281542956,4.857636752,10.80738268
38,31,10,21,2.891581257,5.383491963,12.76720671
41,21,5.5,21,2.403401603,4.144552389,16.23291885
38,31,11,22,2.673709544,5.560130645,11.63234739
32,21,9,28,1.958886832,4.408356256,11.28734891
36,23,9.5,20,2.188091665,4.795809735,12.04197762
33,30,7,27,3.407580249,3.896534275,13.89428643
31,20,9.5,25,1.937476091,3.984332672,10.90111387
34,18,10,21,1.962212616,4.080651995,10.71359903
38,27,9,21,2.49685408,4.9776119,13.35770351
33,18,11,22,1.740550563,3.819422416,9.910215101
35,30,9.5,22,2.997412532,4.698856397,12.3844283
32,27,6,30,3.008441348,4.448838707,14.01573562
30,28,10.5,28,2.512074275,4.375080505,10.17107142
30,27,9.5,27,2.617298939,4.273475655,10.99068356
36,27,5,29,2.906631893,3.982134783,15.99614234
38,25,5.5,23,2.647503739,3.738466334,16.30698403
40,24,7.5,22,2.344963158,4.633697985,14.67773769
32,24,5,24,2.884992254,3.488347921,14.99751122
36,32,5,25,3.840390382,2.796344544,17.24561413
39,28,7,25,2.720254641,4.215629527,15.43156147
39,17,9.5,27,2.03306046,4.441897505,10.87024897
38,32,9,27,3.043718946,4.640792069,13.43843742
32,16,6.5,27,2.273094367,4.412064261,12.35128591
35,32,5.5,29,3.786178733,3.494952672,15.94327604
35,29,9.5,29,2.565760621,4.715288759,11.87045357
41,32,10,22,2.804519806,5.685376302,13.59451962
35,32,10,25,3.170437457,4.656445066,11.78720471
38,20,7.5,30,2.10067143,4.961715583,12.76895238
36,29,8,27,2.850666411,4.357752917,13.62986733
37,32,5,29,3.649435482,3.30215072,17.12796857
36,27,6,20,2.982403628,3.711954239,15.9728219
30,30,7.5,20,3.824375734,3.650699542,13.13399213
38,20,8.5,26,2.076038849,4.539591493,12.26622298
39,29,5.5,24,3.018226216,3.492168116,17.31670932
41,26,6.5,28,2.423075433,4.460476446,15.72093696
40,24,10,20,2.084823872,5.52213436,12.36597616
33,26,11,29,1.91427096,4.56907426,10.15797642
31,31,11,30,2.799924237,4.647529536,9.778140683
31,17,5,28,2.396333597,4.688877308,13.32741717
41,22,6,24,2.358219828,4.266560744,15.6704935
35,26,10,21,2.366980702,4.811178804,11.6833084
40,30,7,26,2.894987902,4.182761993,15.9591403
38,31,5,29,3.367976011,3.459411481,17.30137426
35,31,5.5,29,3.580097235,3.634011187,15.82440074
37,21,7,20,2.378786853,4.303383082,14.11561164
38,21,8,29,2.065886914,4.813190905,12.64331873
39,19,8,23,2.225075113,4.501392379,12.83533402
38,32,5.5,22,3.640245206,3.105580358,17.76917524
36,19,7.5,29,2.114629365,4.753190029,12.42617766
34,19,10,20,1.992171667,4.265585491,10.88543587
35,31,7.5,29,3.284620543,4.25233431,13.87706897
34,23,8.5,20,2.384798014,4.3788238,12.59791509
34,27,6,26,2.995347288,3.787950002,14.84937028
37,21,10,28,1.778587064,4.591954473,10.98814732
32,27,8,22,2.961748033,4.015483633,12.8945334
38,30,10,20,2.760888314,5.520746526,12.75087509
35,31,8.5,27,3.183541618,4.326739562,13.07034538
30,26,9,29,2.477271341,4.517423865,11.27202882
33,31,6.5,22,3.831930069,3.361491247,14.88331788
36,26,10,21,2.324911868,4.940330032,11.86368385
39,26,8,25,2.393431135,4.586302379,14.07188872
40,23,6.5,21,2.402122512,4.370173926,15.55173737
35,29,10.5,29,2.353790084,4.796500534,10.97591287
36,18,7,22,2.336534338,4.120181006,13.15531254
40,17,5.5,28,2.458052595,4.652828928,14.07306708
37,17,6,30,2.319489439,5.033828983,13.13104672
35,16,9,24,2.101988915,3.994801456,11.03584409
34,17,7,21,2.355530377,3.944548164,12.79060647
37,23,8.5,24,2.205527023,4.506414655,12.8097111
40,31,5.5,29,3.147019113,3.70580737,17.42460626
41,18,10.5,26,1.926696479,4.602573484,10.44662266
31,32,10,28,3.375774369,4.391887586,10.67548529
37,26,11.5,25,1.864889044,4.903123857,10.42357803
30,30,5.5,25,3.966107925,3.111246651,14.57622286
38,27,7,29,2.560542147,4.522469224,14.6108489
33,27,11.5,22,2.248399193,4.713581807,10.01956461
37,19,9,29,1.912961289,4.672874129,11.38625584
35,21,10,25,1.876997545,4.321512279,10.96922317
31,21,11,24,1.733364066,3.872843375,9.960046672
31,17,5.5,23,2.452837843,3.805528501,13.37140033
34,19,5,30,2.369047395,4.99480377,13.9442175
32,27,6.5,27,3.032522829,3.990185491,13.83488872
34,23,10,28,1.869740174,4.495741271,10.92485795
35,29,7,26,3.101583808,3.96362346,14.41949244
37,17,6,28,2.359506932,4.639199361,13.31037214
39,28,10,26,2.250887354,5.012888182,12.31173951
38,23,11.5,25,1.660701267,4.763164103,10.25283041
30,23,11,21,2.032089225,4.07495846,10.00895409
34,30,6,23,3.570311587,3.308147892,15.50218145
32,17,7,20,2.364386552,3.801454809,12.64077277
31,23,6,26,2.667526509,4.015622021,13.67922949
39,22,6.5,23,2.368517667,4.255513249,14.88909244
34,25,10.5,29,1.889409248,4.629055442,10.63045669
30,16,7,27,2.179874485,4.345343784,11.90486593
31,18,7,21,2.358092356,3.772833168,12.62051576
36,27,7,27,2.719723013,4.223097316,14.32776294
41,16,9,20,2.391256323,4.804771782,11.67620567
41,23,11,21,1.869867508,5.607487222,11.29220915
39,23,5,24,2.49862452,3.788225181,16.45768785
39,18,10,20,2.083989002,4.817071609,11.12397009
30,25,7,24,2.88035369,3.808774101,13.03524161
31,26,11,22,2.311213497,4.353741014,10.13252326
35,20,6.5,24,2.361100845,4.087720269,13.66081239
32,30,6,29,3.580539137,3.90994491,14.3648286
32,20,9.5,21,2.068952723,4.049717547,11.15111416
38,28,6,29,2.802458325,4.184037179,15.75202547
35,19,5,20,2.513305929,3.641408786,15.05568261
30,18,7.5,23,2.251131589,3.828235297,12.05656295
37,22,11,21,1.859806789,4.896348651,10.66691978
37,31,11,23,2.704807972,5.283609131,11.33820339
32,31,8.5,28,3.391697859,4.245746879,12.24585937
41,26,10,27,1.977818617,5.14320011,12.32731431
38,31,8.5,29,2.884677549,4.643756693,13.68395078
35,29,7.5,25,3.058679466,4.057920877,14.02541338
40,16,9.5,26,2.175390199,4.39745051,10.75929108
36,29,11,21,2.521929909,5.314620646,11.13324537
35,17,9.5,23,2.019756906,4.032080245,10.89763724
40,21,7,25,2.26807026,4.489838995,14.16598335
35,28,10.5,27,2.296192417,4.692771909,11.03442273
31,20,10,21,1.990503084,3.942253521,10.69845549
34,27,10,23,2.467755628,4.574370903,11.46063411
38,27,8.5,25,2.462602283,4.61301656,13.52382211
39,20,11,25,1.735253435,4.591756225,10.3454511
32,28,10.5,25,2.540187082,4.405981774,10.60917758
32,23,8.5,28,2.190004387,4.467189248,11.8200235
33,17,5,21,2.511969665,3.634570999,14.17078496
40,32,11,26,2.554604031,5.426625011,11.90327859
39,27,11.5,21,2.042968569,5.748530885,11.04439094
30,32,6.5,21,4.417560748,3.070881776,14.07121864
34,22,5,28,2.536466571,4.30197145,14.72087209
36,20,7.5,30,2.089304739,4.924889266,12.53711774
39,18,9,22,2.166570405,4.564742961,11.83437756
34,25,6,29,2.662414717,4.411045677,14.30363297
38,30,8,25,2.92958733,4.388705824,14.43509749
36,24,8,27,2.279624043,4.501687425,13.00498414
33,29,6.5,23,3.409638544,3.535717069,14.6142272
37,21,5,29,2.401808281,4.562636442,14.98324057
38,25,11.5,27,1.684778348,4.864404204,10.36442332
36,23,9.5,25,2.041445613,4.517762782,11.72857059
41,29,8,24,2.623541679,4.724802733,15.18705257
35,27,5.5,25,3.008026998,3.559077225,15.67315742
30,18,6,28,2.306261403,4.627725022,12.73880102
36,20,6.5,23,2.368605061,4.086593672,13.90484551
39,16,7.5,26,2.365644251,4.441764546,12.26523932
40,17,10,22,2.126753252,4.611694437,10.85126131
41,31,8.5,24,2.823654617,4.86310167,14.9698649
35,28,10.5,30,2.162061491,4.862345524,10.8805581
39,18,5.5,23,2.450370688,4.089009029,14.75532317
34,23,10.5,28,1.768477413,4.455084902,10.54274184
33,22,6,30,2.401592022,4.851409375,13.58765174
36,18,6.5,29,2.245703559,4.793468804,12.97015205
41,25,10,25,1.982356323,5.167207589,12.31769391
35,28,8,28,2.729680981,4.43660337,13.21653019
31,18,11.5,21,1.646232843,3.57922465,9.539469043
41,31,6,27,3.057001797,3.768728319,17.445226
39,23,8.5,23,2.193220409,4.717322776,13.22197287
40,24,9,21,2.195737687,5.140781565,13.27638958
37,25,5.5,20,2.735668511,3.689297123,16.37545672
40,25,6.5,22,2.493214644,4.271886185,15.91546848
41,19,11,28,1.726960988,4.656589341,10.11263686
39,19,8,21,2.259087454,4.587028621,13.00468332
38,31,9.5,20,3.003859687,5.346095514,13.38735136
41,32,5.5,28,3.248318642,3.490767625,18.0864483
30,29,11.5,24,2.652771385,4.332224517,9.455586717
41,31,6,20,3.163744759,3.911627871,18.32539054
41,16,11,29,1.915755615,4.345380629,9.441752182
33,29,10.5,30,2.414273108,4.753011964,10.57811245
30,16,6,20,2.457126331,3.581622014,12.95259246
33,19,7.5,30,2.06259947,4.904664979,12.06951878
32,26,10,20,2.541575109,4.539650497,11.20620682
41,23,9,21,2.144481983,5.224718635,13.25654914
33,27,9,27,2.556262243,4.409522893,11.9218607
40,24,8.5,27,2.118965507,4.812378205,13.24275053
31,27,9.5,24,2.68801097,4.198406194,11.29575705
30,17,10,20,1.939412169,3.597303966,10.44063208
30,26,9.5,30,2.322697181,4.654672333,10.8634627
31,19,5,22,2.566151315,3.578632962,14.16162315
36,16,5,30,2.427868487,5.113022423,13.49765265
34,17,9.5,29,1.797223806,4.347857933,10.57357653
36,25,10.5,24,2.040149718,4.709479563,11.14002599
40,24,10.5,20,2.011830722,5.629550054,11.87220155
36,18,5,24,2.461853419,3.948271314,14.58837913
40,27,8,26,2.416359558,4.657458812,14.37810107
32,25,9,22,2.523591816,4.210276747,11.89889721
37,26,8.5,27,2.34271562,4.602572823,13.02009459
39,32,10.5,26,2.723513499,5.178090972,12.19507535
38,26,5.5,24,2.72492768,3.701751605,16.40858862
31,28,10,30,2.473506231,4.659191055,10.64660025
31,22,10.5,24,1.904597845,4.004559324,10.35481238
35,22,10.5,21,1.961593333,4.594552477,10.87357503
40,29,8,21,2.748199321,4.852945658,15.22075988
40,22,10.5,23,1.881281075,5.046455158,11.33094725
30,22,5.5,29,2.586262166,4.644248372,13.52675311
31,31,9,30,3.280661111,4.536601428,11.45778087
34,26,6.5,27,2.77126596,4.107706559,14.18352981
32,30,10.5,29,2.70544481,4.600591835,10.44381239
32,31,6,30,3.757274127,3.986641653,14.35221572
39,28,10,28,2.179523756,5.010635992,12.16599241
39,30,7,29,2.887925063,4.337166479,15.35406108
34,16,11,25,1.706963509,3.597069268,9.620209982
39,27,5.5,22,2.797602341,3.653769234,17.13618212
31,28,8,30,2.899045039,4.607772873,12.23299802
32,24,9,20,2.473612128,4.287270879,11.93707435
35,18,6.5,24,2.34369838,4.099659348,13.26034658
34,20,8,21,2.267274059,4.145616856,12.53528938
33,26,11,24,2.142172315,4.46821889,10.34458833
39,18,5,29,2.411918302,4.744430718,14.53220615
34,16,7.5,30,2.108195503,4.885280401,11.64908663
40,23,7.5,26,2.230031265,4.608930441,14.06876659
41,20,8.5,28,2.06173955,4.85622096,12.44835726
37,23,9.5,20,2.166874951,4.926175735,12.1968181
34,23,6.5,21,2.602775832,3.87656068,14.26116525
37,24,10,22,2.093713954,4.853343805,11.74518917
38,20,10,21,1.995302023,4.768316689,11.341968
38,24,8.5,23,2.263774046,4.641019382,13.22369272
35,28,11,28,2.142499106,4.745266411,10.54436388
35,27,6.5,20,3.003359473,3.841349287,15.1969466
32,17,11,23,1.689166754,3.542221615,9.768431623
36,22,11.5,26,1.585266154,4.399934343,9.933505427
30,20,9.5,26,1.903153079,3.998404418,10.79234897
35,29,6,26,3.232928928,3.637787541,15.38379054
40,27,6,29,2.581264851,4.321557793,16.0833612
37,20,6.5,23,2.359163186,4.146841381,14.06783784
32,27,11.5,28,2.01147561,4.441801147,9.685128083
40,29,8.5,22,2.664411709,4.953559967,14.57578264
34,23,7,21,2.549302391,4.004755784,13.82457035
36,26,5.5,30,2.708250154,4.4205499,15.25819631
33,16,9,20,2.152793354,3.872450999,11.14118065
32,27,8,27,2.793438188,4.245577791,12.568415
34,25,10,28,2.037675665,4.56737717,11.07567799
31,31,9.5,26,3.356665685,4.224870782,11.2305955
40,17,6,22,2.489624444,4.232888533,14.28408295
31,32,11,29,3.076408676,4.558584386,9.766983588
33,19,6.5,29,2.231496169,4.766998141,12.82427905
33,17,7.5,30,2.058465268,4.898412869,11.7642347
37,18,8.5,26,2.094689693,4.387919228,11.77888534
41,27,10,23,2.169318743,5.423440265,12.80795643
31,22,10,29,1.792785206,4.405720282,10.54342192
40,32,9.5,26,2.838298082,4.994996768,13.52900949
39,22,11.5,25,1.63950209,4.784072781,10.21919307
35,29,11,23,2.503928874,4.934927083,10.82779283
39,23,9.5,27,1.944195773,4.805739549,11.99787055
34,32,9,24,3.491505339,4.30340236,12.58594475
41,29,8,27,2.550927368,4.691518691,14.87959041
39,18,11.5,26,1.681153838,4.263901568,9.56583696
40,17,9.5,26,2.098339895,4.487692414,10.98921667
31,26,8,24,2.808965426,3.995528032,12.49172341
30,32,5,21,4.61240922,2.336135351,15.53445001
38,18,8,20,2.291861652,4.498517374,12.73282773
33,22,7.5,24,2.373227107,4.090545412,12.86949925
37,18,5,27,2.424357764,4.372988458,14.44179963
35,31,10.5,22,2.990109656,4.996062463,11.43989704
34,24,7,20,2.657480984,4.023277383,14.05212494
40,17,9.5,28,2.045125202,4.573056322,10.85238514
35,24,8,28,2.276650695,4.557314002,12.76336616
36,23,11.5,29,1.498209859,4.553423817,9.90214991
32,25,11,30,1.777731422,4.562039736,9.993368717
32,23,8.5,23,2.363321008,4.100533489,12.0943823
39,31,8,27,2.958477699,4.447512035,14.65363915
32,28,11.5,25,2.311316387,4.462048251,9.769117676
41,27,8,22,2.459243589,4.897837455,15.0131475
40,32,8,23,3.154916143,4.565420186,15.48905476
34,23,5.5,29,2.533348459,4.499204013,14.40331917
40,22,6,22,2.397363079,4.186829835,15.683472
35,24,5,22,2.759534415,3.432141093,15.92175879
34,30,6,26,3.494802816,3.503419305,15.21318853
36,29,11.5,26,2.214458505,4.924403534,10.3949277
41,16,11.5,20,2.090249458,4.845260777,9.542706447
30,22,10.5,30,1.644258755,4.416282976,10.11651716
34,31,9.5,24,3.19009624,4.46948288,12.05811598
41,20,8,23,2.219154038,4.72832798,13.34419137
34,25,11.5,27,1.758123674,4.459409149,9.914363218
40,31,5.5,24,3.239606819,3.344725493,18.04885044
32,23,11.5,30,1.467395461,4.354134682,9.59758199
32,18,7.5,22,2.272717713,3.888941418,12.31268825
39,29,9,28,2.475997417,4.83587167,13.27242902
36,21,11.5,20,1.776803498,4.792850608,10.07941715
38,16,11.5,20,1.948190158,4.363804358,9.477556532
36,24,10.5,29,1.768877906,4.719104743,10.78660454
38,23,8.5,23,2.211077184,4.618185145,13.05231594
31,27,5.5,23,3.344375602,3.25552236,14.78180146
31,21,8.5,25,2.167459051,4.082749479,11.68007538
39,24,7,25,2.37017733,4.3786262,14.65812112
36,22,5,27,2.49805742,4.118398912,15.22119801
31,29,7,26,3.413353565,3.800172573,13.38313002
34,31,6,24,3.745569347,3.247377622,15.51377329
37,18,8,27,2.133771496,4.487382967,12.09244328
30,30,6,30,3.725060927,4.136861914,13.73385667
32,31,5.5,22,4.05986062,2.838714921,15.55616999
32,18,5.5,26,2.402336539,4.21948423,13.45109831
41,28,7.5,27,2.506573057,4.579696267,15.22155905
34,22,7.5,28,2.234941364,4.531742719,12.74344491
33,18,10,30,1.622185246,4.405886619,10.31044905
32,16,5.5,25,2.419885052,4.109656539,13.14779427
33,22,9,25,2.114531888,4.230217058,11.63689851
41,22,11,20,1.886112892,5.67658344,11.18421099
39,20,10,21,2.004578667,4.901025548,11.44532844
39,27,7,26,2.587020879,4.302927964,15.14757589
38,18,6,27,2.357811663,4.48264898,13.77917096
30,26,7,20,3.14315357,3.648947385,13.37511693
40,29,9,22,2.596081047,5.141584757,14.0347002
33,25,7,22,2.770051179,3.8851941,13.80706186
30,31,11,27,3.037710037,4.365661051,9.688055327
37,19,5.5,23,2.43157698,3.967424367,14.68912294
31,29,9.5,21,3.151410489,4.318525284,11.48013979
38,21,8.5,22,2.174972449,4.592803186,12.7647792
34,20,8,28,2.076256175,4.532553987,12.08279704
35,27,9,26,2.49272842,4.486194946,12.36314148
33,29,8.5,20,3.204628738,4.333370732,12.9391719
37,20,9,26,1.998196027,4.473614962,11.75116668
36,21,9.5,24,1.991639785,4.417220335,11.52278279
38,32,6,21,3.610076606,3.442399251,17.31900149
34,26,8.5,27,2.467230246,4.425734068,12.45574296
40,21,6.5,24,2.326167357,4.355882563,14.73055272
35,19,7.5,29,2.105995554,4.733308818,12.32487098
35,27,11.5,22,2.160084938,4.988607979,10.32962533
41,29,9,30,2.310095119,5.092828748,13.55010514
34,20,11,20,1.839527026,4.37517709,10.22301007
33,17,7,22,2.329724435,3.900675745,12.6128375
39,20,10,27,1.839162708,4.633927874,11.05502252
32,21,8.5,30,1.971445979,4.783173727,11.53721279
30,26,9.5,24,2.5899685,4.103397298,11.10282438
36,18,8,26,2.141838493,4.346984067,12.07399618
36,25,9.5,24,2.218201788,4.604285583,12.02695319
37,26,9,27,2.261617442,4.671717515,12.56397136
35,20,5.5,21,2.493991722,3.759341293,14.7589641
40,27,9.5,26,2.196705197,5.002212859,12.87180586
34,26,10.5,20,2.353882177,4.888301714,11.11015839
33,16,5,20,2.532444198,3.603257713,14.03517016
39,18,5,30,2.397097527,4.957021054,14.42396214
30,22,5,20,2.849782301,3.256994312,14.60754853
39,17,10.5,23,1.995543568,4.389959078,10.32865911
41,27,6.5,26,2.542090949,4.259307901,16.17279411
32,19,11.5,29,1.329884039,3.890923152,9.463295589
34,27,9.5,23,2.559893039,4.491231487,11.9089009
33,18,11.5,23,1.606563083,3.691120679,9.538169086
32,18,10,22,1.904859708,3.8203988,10.55877714
37,28,7,29,2.733957464,4.423725796,14.52788096
35,28,10,25,2.478929183,4.633389149,11.59581751
34,24,9.5,22,2.257468095,4.443109253,11.72556197
35,29,10.5,24,2.567266839,4.774809723,11.24456096
37,16,11.5,20,1.905132598,4.210668803,9.461554934
31,25,7,23,2.853241731,3.791319534,13.30729241
36,31,8,21,3.369193568,4.333010278,14.34356069
40,16,8,26,2.352323518,4.491058109,11.94575103
36,28,10.5,26,2.29030878,4.782227928,11.26568584
32,25,10,30,2.007610399,4.677050303,10.73204187
32,28,8,20,3.183835754,4.078134502,13.09809937
31,16,6.5,20,2.413472894,3.671041459,12.71851249
31,21,9,20,2.246692788,4.044557114,11.55269043
31,27,9.5,27,2.56244184,4.329194845,11.15785565
41,32,9.5,20,2.935575665,5.807868442,14.35774807
30,30,6,23,3.955827369,3.111331062,14.28921942
41,23,6.5,20,2.385203163,4.540744412,15.88984925
37,21,9.5,28,1.864997296,4.62583664,11.38514532
35,21,7.5,28,2.174201828,4.571631812,12.73155419
36,28,6,28,2.954641215,3.999544559,15.32063911
34,21,8.5,28,2.031268571,4.52264506,11.84922732
37,19,8.5,26,2.074274839,4.433754733,11.97024958
31,16,5,28,2.395451044,4.736734581,13.14106297
30,27,11.5,26,2.202052856,4.204190699,9.482500209
38,26,10.5,30,1.841994853,5.015917141,11.18281239
32,31,7.5,28,3.58005622,4.029945922,13.14926297
30,30,9.5,21,3.434938904,4.215441028,11.25563642
35,19,7,28,2.198570741,4.585840867,12.76578434
37,16,5.5,28,2.446389904,4.653428304,13.42941372
36,22,7,21,2.42187523,4.173604958,14.04049175
